sourceTypeModelYearID,sourceTypeID,modelYearID,fuelTypeID,engTechID,regClassID,stmyFuelEngFraction,stmyFraction
311956,31,1956,1,1,30,0.808384001255036,0.79713129632656
311956,31,1956,1,1,41,0.191615998744965,0.1889487041299
311956,31,1956,2,1,30,0.379999995231628,0.00528959976016972
311956,31,1956,2,1,41,0.620000004768372,0.00863039978337094
311956,31,1956,5,1,30,1,0
311956,31,1956,9,30,30,1,0
311956,31,1956,9,30,41,0,0
311957,31,1957,1,1,30,0.808384001255036,0.79713129632656
311957,31,1957,1,1,41,0.191615998744965,0.1889487041299
311957,31,1957,2,1,30,0.379999995231628,0.00528959976016972
311957,31,1957,2,1,41,0.620000004768372,0.00863039978337094
311957,31,1957,5,1,30,1,0
311957,31,1957,9,30,30,1,0
311957,31,1957,9,30,41,0,0
311958,31,1958,1,1,30,0.808384001255036,0.79713129632656
